AAPL
MSFT
GOOG
GOOGL
AMZN
FB
GE
BRK.B
BRK.A
V
NVDA
JPM
JNJ
WMT
UNH
MA
HD
PG
BAC
PYPL
DIS
ADBE
NKE
CMCSA
PFE
XOM
ORCL
LLY
KO
CSCO
VZ
CRM
NFLX
INTC
ABT
PEP
DHR
ABBV
TMO
T
CVX
AVGO
WFC
MRK
COST
TMUS
MS
MCD
TXN
UPS
QCOM
HON
CHTR
PM
NEE
BMY
MRNA
C
INTU
UNP
SBUX
BX
AMGN
LOW
BA
AXP
BLK
RTX
AMD
GS
IBM
TGT
AMT
SCHW
AMAT
SQ
EL
ISRG
CAT
SNAP
MMM
NOW
DE
ZM
CVS
SPGI
LMT
SYK
ZTS
ANTM
PLD
ADP
MU
ABNB
GILD
LRCX
MO
BKNG
MDLZ
HCA
SNOW
GM
USB
CCI
TJX
DUK
UBER
FIS
PNC
CI
COP
SHW
MMC
DELL
CME
FDX
TFC
BDX
COF
ITW
CSX
ILMN
ADSK
FISV
MCO
EW
CL
EQIX
SO
ICE
TWLO
VMW
BSX
APD
NSC
REGN
ECL
WM
ATVI
ADI
IDXX
D
EMR
NOC
DASH
CRWD
WDAY
ROKU
DOCU
CVNA
PGR
F
GD
DG
KKR
HUM
TWTR
FCX
PSA
ALGN
CMG
SCCO
ROP
VEEV
MET
VRTX
MSCI
BIIB
MRVL
GPN
TSLA
